Log started

FAIL | School: 0 | User: 1 | 01.sjava
PASS | School: 1 | User: 1 | 02.sjava
FAIL | School: 0 | User: 1 | 03.sjava
FAIL | School: 0 | User: 1 | 04.sjava
FAIL | School: 0 | User: 1 | 05.sjava
FAIL | School: 0 | User: 1 | 06.sjava
FAIL | School: 0 | User: 1 | 07.sjava
FAIL | School: 0 | User: 1 | 08.sjava
FAIL | School: 0 | User: 1 | 09.sjava
FAIL | School: 0 | User: 1 | 10.sjava
FAIL | School: 0 | User: 1 | 11.sjava
PASS | School: 1 | User: 1 | 12.sjava
PASS | School: 1 | User: 1 | 13.sjava
FAIL | School: 0 | User: 1 | 14.sjava
PASS | School: 1 | User: 1 | 15.sjava
PASS | School: 1 | User: 1 | 16.sjava
PASS | School: 1 | User: 1 | 17.sjava
PASS | School: 1 | User: 1 | 18.sjava
PASS | School: 1 | User: 1 | 22.sjava
PASS | School: 1 | User: 1 | 23.sjava
PASS | School: 1 | User: 1 | 24.sjava
PASS | School: 1 | User: 1 | 25.sjava
PASS | School: 1 | User: 1 | 26.sjava
PASS | School: 1 | User: 1 | 27.sjava
PASS | School: 1 | User: 1 | 28.sjava
FAIL | School: 0 | User: 1 | 29.sjava
FAIL | School: 0 | User: 1 | 30.sjava
PASS | School: 1 | User: 1 | 31.sjava
FAIL | School: 0 | User: 1 | 01.sjava
PASS | School: 1 | User: 1 | 02.sjava
FAIL | School: 0 | User: 1 | 03.sjava
FAIL | School: 0 | User: 1 | 04.sjava
FAIL | School: 0 | User: 1 | 06.sjava
FAIL | School: 0 | User: 1 | 07.sjava
PASS | School: 1 | User: 1 | 08.sjava
PASS | School: 1 | User: 1 | 09.sjava
PASS | School: 1 | User: 1 | 10.sjava
PASS | School: 1 | User: 1 | 11.sjava
PASS | School: 1 | User: 1 | 12.sjava
PASS | School: 1 | User: 1 | 13.sjava
FAIL | School: 0 | User: 1 | 14.sjava
PASS | School: 1 | User: 1 | 16.sjava
PASS | School: 1 | User: 1 | 17.sjava
FAIL | School: 0 | User: 1 | 18.sjava
PASS | School: 1 | User: 1 | 19.sjava
PASS | School: 1 | User: 1 | 20.sjava
PASS | School: 1 | User: 1 | 21.sjava
PASS | School: 1 | User: 1 | 22.sjava
PASS | School: 1 | User: 1 | 23.sjava
PASS | School: 1 | User: 1 | 24.sjava
FAIL | School: 0 | User: 1 | 25.sjava
PASS | School: 1 | User: 1 | 26.sjava
FAIL | School: 0 | User: 1 | 27.sjava
PASS | School: 1 | User: 1 | 28.sjava
FAIL | School: 0 | User: 1 | 29.sjava
PASS | School: 1 | User: 1 | 31.sjava
FAIL | School: 0 | User: 1 | 32.sjava
FAIL | School: 0 | User: 1 | 33.sjava
FAIL | School: 0 | User: 1 | 34.sjava
PASS | School: 1 | User: 1 | 35.sjava
PASS | School: 1 | User: 1 | 37.sjava
FAIL | School: 0 | User: 1 | 01.sjava
FAIL | School: 0 | User: 1 | 02.sjava
PASS | School: 1 | User: 1 | 03.sjava
PASS | School: 1 | User: 1 | 04.sjava
PASS | School: 1 | User: 1 | 05.sjava
PASS | School: 1 | User: 1 | 06.sjava
FAIL | School: 0 | User: 1 | 07.sjava
FAIL | School: 0 | User: 1 | 08.sjava
FAIL | School: 0 | User: 1 | 09.sjava
PASS | School: 1 | User: 1 | 10.sjava
FAIL | School: 0 | User: 1 | 11.sjava
PASS | School: 1 | User: 1 | 12.sjava
PASS | School: 1 | User: 1 | 13.sjava
FAIL | School: 0 | User: 1 | 14.sjava
PASS | School: 0 | User: 0 | 01.sjava
PASS | School: 1 | User: 1 | 02.sjava
PASS | School: 1 | User: 1 | 03.sjava
PASS | School: 0 | User: 0 | 04.sjava
PASS | School: 0 | User: 0 | 05.sjava
PASS | School: 0 | User: 0 | 06.sjava
PASS | School: 0 | User: 0 | 07.sjava
PASS | School: 0 | User: 0 | 08.sjava
PASS | School: 1 | User: 1 | 09.sjava
PASS | School: 1 | User: 1 | 10.sjava
PASS | School: 1 | User: 1 | 11.sjava
PASS | School: 1 | User: 1 | 12.sjava
PASS | School: 1 | User: 1 | 13.sjava
PASS | School: 1 | User: 1 | 14.sjava
PASS | School: 1 | User: 1 | 15.sjava
PASS | School: 1 | User: 1 | 16.sjava
PASS | School: 1 | User: 1 | 17.sjava
PASS | School: 1 | User: 1 | 18.sjava
PASS | School: 1 | User: 1 | 19.sjava
PASS | School: 1 | User: 1 | 20.sjava
PASS | School: 1 | User: 1 | 21.sjava
PASS | School: 1 | User: 1 | 22.sjava
PASS | School: 1 | User: 1 | 23.sjava
PASS | School: 1 | User: 1 | 24.sjava
PASS | School: 1 | User: 1 | 25.sjava
PASS | School: 0 | User: 0 | 01.sjava
FAIL | School: 0 | User: 1 | 02.sjava
PASS | School: 1 | User: 1 | 03.sjava
PASS | School: 1 | User: 1 | 04.sjava
PASS | School: 1 | User: 1 | 05.sjava
PASS | School: 1 | User: 1 | 06.sjava
PASS | School: 1 | User: 1 | 07.sjava
PASS | School: 1 | User: 1 | 08.sjava
PASS | School: 1 | User: 1 | 09.sjava
PASS | School: 1 | User: 1 | 10.sjava
PASS | School: 1 | User: 1 | 11.sjava
PASS | School: 1 | User: 1 | 12.sjava
PASS | School: 1 | User: 1 | 13.sjava
PASS | School: 1 | User: 1 | 14.sjava
PASS | School: 1 | User: 1 | 15.sjava
FAIL | School: 0 | User: 1 | 16.sjava
PASS | School: 1 | User: 1 | 17.sjava
PASS | School: 1 | User: 1 | 18.sjava
FAIL | School: 0 | User: 1 | 19.sjava
FAIL | School: 0 | User: 1 | 20.sjava
FAIL | School: 0 | User: 1 | 21.sjava
FAIL | School: 0 | User: 1 | 22.sjava
FAIL | School: 0 | User: 1 | 23.sjava
PASS | School: 1 | User: 1 | 24.sjava
PASS | School: 1 | User: 1 | 25.sjava
PASS | School: 1 | User: 1 | 26.sjava
FAIL | School: 0 | User: 1 | 27.sjava
PASS | School: 1 | User: 1 | 28.sjava
PASS | School: 1 | User: 1 | 29.sjava
PASS | School: 1 | User: 1 | 30.sjava
PASS | School: 1 | User: 1 | 31.sjava
PASS | School: 1 | User: 1 | 32.sjava
PASS | School: 1 | User: 1 | 33.sjava
PASS | School: 1 | User: 1 | 34.sjava
FAIL | School: 0 | User: 1 | 35.sjava
PASS | School: 1 | User: 1 | 36.sjava
PASS | School: 1 | User: 1 | 37.sjava
PASS | School: 1 | User: 1 | 38.sjava
PASS | School: 1 | User: 1 | 39.sjava
PASS | School: 1 | User: 1 | 40.sjava
FAIL | School: 0 | User: 1 | 41.sjava
FAIL | School: 0 | User: 1 | 42.sjava
FAIL | School: 0 | User: 1 | 43.sjava
PASS | School: 1 | User: 1 | 44.sjava
FAIL | School: 0 | User: 1 | 45.sjava
PASS | School: 1 | User: 1 | 46.sjava
PASS | School: 1 | User: 1 | 47.sjava
PASS | School: 1 | User: 1 | 48.sjava
FAIL | School: 0 | User: 1 | 49.sjava
FAIL | School: 0 | User: 1 | 50.sjava
PASS | School: 1 | User: 1 | 51.sjava
